,款號,款號品類,款號_style1,款號_style2,圖片,搭配款,搭配款品類,搭配款_style1,搭配款_style2,搭配款主圖,平拍圖
1379,AB13278,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13278/AB13278@PIC-8.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1380,AB13292,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB13292/AB13292@PIC-11.jpg,BA5496,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5496/BA5496@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5496/BA5496@CB-T4-C34A09EEAF84B8098010.png
1381,AB13292,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13292/AB13292@PIC-1.jpg,BA5545,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5545/BA5545@1.jpg,
1382,AB13309,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13309/AB13309@PIC-6.jpg,BA5517,褲子,率性休閒,簡約質感,https://image.obdesign.com.tw/catalog/products/BA5517/BA5517@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5517/BA5517@CB-T4-2DAC2D620804C2793664.png
1383,AB13313,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13313/AB13313@PIC-2.jpg,BA5557,褲子,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/BA5557/BA5557@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5557/BA5557@CB-T4-12336BCF9E74C809E6AE.png
1384,AB13313,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13313/AB13313@PIC-6.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1385,AB13315,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13315/AB13315@PIC-10.jpg,BA5496,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5496/BA5496@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5496/BA5496@CB-T4-C34A09EEAF84B8098010.png
1386,AB13329,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13329/AB13329@PIC-2.jpg,BA5517,褲子,率性休閒,簡約質感,https://image.obdesign.com.tw/catalog/products/BA5517/BA5517@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5517/BA5517@CB-T4-2DAC2D620804C2793664.png
1387,AB13343,未設定,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB13343/AB13343@PIC-7.jpg,BA5762,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5762/BA5762@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5762/BA5762@CB-T4-78EB9E5B20F4EA8B48E1.png
1388,AB13359,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13359/AB13359@PIC-8.jpg,BA5487,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5487/BA5487@1.jpg,
1389,AB13370,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13370/AB13370@PIC-5.jpg,BA5756,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5756/BA5756@1.jpg,
1390,AB13373,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13373/AB13373@PIC-11.jpg,BA5805,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5805/BA5805@1.jpg,
1391,AB13387,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13387/AB13387@PIC-4.jpg,BA5559,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1392,AB13390,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13390/AB13390@PIC-1.jpg,BA2098,褲子,,,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@1.jpg,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@CB-T4-0D3C9F852CD4BA1B3207.png
1393,AB13391,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13391/AB13391@PIC-4.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1394,AB13392,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13392/AB13392@PIC-5.jpg,BA5711,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5711/BA5711@1.jpg,
1395,AB13395,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13395/AB13395@PIC-6.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1396,AB13395,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB13395/AB13395@PIC-3.jpg,BA5658,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5658/BA5658@1.jpg,
1397,AB13398,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13398/AB13398@PIC-5.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1398,AB13406,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13406/AB13406@PIC-5.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1399,AB13423,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13423/AB13423@PIC-3.jpg,BA5711,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5711/BA5711@1.jpg,
1400,AB13423,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13423/AB13423@PIC-9.jpg,BA4049,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4049/BA4049@1.jpg,
1401,AB13434,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13434/AB13434@PIC-7.jpg,BA5614,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5614/BA5614@1.jpg,
1402,AB13443,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13443/AB13443@PIC-1.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1403,AB13448,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13448/AB13448@PIC-1.jpg,BA5624,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1404,AB13449,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13449/AB13449@PIC-3.jpg,BA2098,褲子,,,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@1.jpg,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@CB-T4-0D3C9F852CD4BA1B3207.png
1405,AB13456,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13456/AB13456@PIC-7.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1406,AB13469,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13469/AB13469@PIC-5.jpg,BA5450,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@CB-T4-9C5AC6217CE4DB2B49A5.png
1407,AB13485,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13485/AB13485@PIC-7.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1408,AB13488,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13488/AB13488@PIC-11.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1409,AB13488,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13488/AB13488@PIC-5.jpg,BA5614,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5614/BA5614@1.jpg,
1410,AB13496,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13496/AB13496@PIC-9.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1411,AB13496,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13496/AB13496@PIC-5.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1412,AB13497,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13497/AB13497@PIC-2.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
1413,AB13498,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13498/AB13498@PIC-6.jpg,BA5559,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5559/BA5559@1.jpg,
1414,AB13503,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13503/AB13503@PIC-7.jpg,BA5826,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5826/BA5826@1.jpg,
1415,AB13507,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13507/AB13507@PIC-16.jpg,BA2467,褲子,,,https://image.obdesign.com.tw/catalog/products/BA2467/BA2467@1.jpg,
1416,AB13507,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13507/AB13507@PIC-3.jpg,BA5172,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5172/BA5172@1.jpg,
1417,AB13534,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13534/AB13534@PIC-2.jpg,BA4689,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4689/BA4689@1.jpg,
1418,AB13558,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13558/AB13558@PIC-15.jpg,BA5590,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5590/BA5590@1.jpg,
1419,AB13572,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13572/AB13572@PIC-2.jpg,BA5396,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@CB-T4-408A6D81A274500B39C8.png
1420,AB13630,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13630/AB13630@PIC-5.jpg,BA5396,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@CB-T4-408A6D81A274500B39C8.png
1421,AB13631,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB13631/AB13631@PIC-5.jpg,BA5396,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@CB-T4-408A6D81A274500B39C8.png
1422,AB13641,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13641/AB13641@PIC-10.jpg,BA5590,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5590/BA5590@1.jpg,
1423,AB13644,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13644/AB13644@PIC-5.jpg,BA5849,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5849/BA5849@1.jpg,
1424,AB13647,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13647/AB13647@PIC-10.jpg,BA5590,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5590/BA5590@1.jpg,
1425,AB13649,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB13649/AB13649@PIC-8.jpg,BA5881,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5881/BA5881@1.jpg,
1426,AB13656,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13656/AB13656@PIC-4.jpg,BA5879,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5879/BA5879@1.jpg,
1427,AB13658,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13658/AB13658@PIC-3.jpg,BA5172,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5172/BA5172@1.jpg,
1428,AB13668,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13668/AB13668@PIC-2.jpg,BA5569,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5569/BA5569@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5569/BA5569@CB-T4-F843ED5FEBC4F61A20C6.png
1429,AB13683,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13683/AB13683@PIC-1.jpg,BA5879,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5879/BA5879@1.jpg,
1430,AB13684,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13684/AB13684@PIC-5.jpg,BA5891,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5891/BA5891@1.jpg,
1431,AB13689,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13689/AB13689@PIC-7.jpg,BA5830,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5830/BA5830@1.jpg,
1432,AB13690,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13690/AB13690@PIC-5.jpg,BA4352,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@CB-T4-B97132D024A499C8A59B.png
1433,AB13692,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13692/AB13692@PIC-9.jpg,BA4352,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@CB-T4-B97132D024A499C8A59B.png
1434,AB13715,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13715/AB13715@PIC-14.jpg,BA4886,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
1435,AB13735,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13735/AB13735@PIC-4.jpg,BA5897,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@CB-T4-2EEBF669A954F8DA28E9.png
1436,AB13738,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13738/AB13738@PIC-7.jpg,BA4352,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@CB-T4-B97132D024A499C8A59B.png
1437,AB13768,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13768/AB13768@PIC-12.jpg,BA5897,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@CB-T4-2EEBF669A954F8DA28E9.png
1438,AB13787,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13787/AB13787@PIC-1.jpg,BA5826,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5826/BA5826@1.jpg,
1439,AB13822,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13822/AB13822@PIC-5.jpg,BA5762,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5762/BA5762@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5762/BA5762@CB-T4-78EB9E5B20F4EA8B48E1.png
1440,AB13830,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13830/AB13830@PIC-6.jpg,BA5658,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5658/BA5658@1.jpg,
1441,AB13834,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13834/AB13834@PIC-9.jpg,BA5896,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5896/BA5896@1.jpg,
1442,AB13851,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13851/AB13851@PIC-9.jpg,BA5500,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5500/BA5500@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5500/BA5500@CB-T4-F89E04B7C054EF4B73E8.png
1443,AB13851,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13851/AB13851@PIC-5.jpg,BA5826,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5826/BA5826@1.jpg,
1444,AB13855,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13855/AB13855@PIC-3.jpg,BA5868,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5868/BA5868@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5868/BA5868@CB-T4-D83BB6C57694BFDBDCAE.png
1445,AB13881,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13881/AB13881@PIC-5.jpg,BA4352,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4352/BA4352@CB-T4-B97132D024A499C8A59B.png
1446,AB13881,未設定,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB13881/AB13881@PIC-3.jpg,BA5976,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5976/BA5976@1.jpg,
1447,AB13882,未設定,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB13882/AB13882@PIC-13.jpg,BA5897,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5897/BA5897@CB-T4-2EEBF669A954F8DA28E9.png
1448,AB13882,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13882/AB13882@PIC-5.jpg,BA5847,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5847/BA5847@1.jpg,
1449,AB13882,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13882/AB13882@PIC-7.jpg,BA5876,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5876/BA5876@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5876/BA5876@CB-T4-8A3C1221ACA4FEB8D255.png
1450,AB13890,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13890/AB13890@PIC-6.jpg,BA5865,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5865/BA5865@1.jpg,
1451,AB13895,未設定,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB13895/AB13895@PIC-4.jpg,BA5946,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5946/BA5946@1.jpg,
1452,AB13918,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13918/AB13918@PIC-4.jpg,BA4886,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
1453,AB13959,未設定,,,https://image.obdesign.com.tw/catalog/products/AB13959/AB13959@PIC-4.jpg,BA3769,褲子,,,https://image.obdesign.com.tw/catalog/products/BA3769/BA3769@1.jpg,
1454,AB14060,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14060/AB14060@PIC-5.jpg,BA5958,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5958/BA5958@1.jpg,
1455,AB14060,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB14060/AB14060@PIC-1.jpg,BA5925,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5925/BA5925@1.jpg,
1456,AB14067,未設定,休閒_個性,,https://image.obdesign.com.tw/catalog/products/AB14067/AB14067@PIC-7.jpg,BA5941,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5941/BA5941@1.jpg,
1457,AB14117,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14117/AB14117@PIC-5.jpg,BA5529,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5529/BA5529@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5529/BA5529@CB-T4-AB7C94478AE4B8881314.png
1458,AB14158,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14158/AB14158@PIC-5.jpg,BA5962,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5962/BA5962@1.jpg,
1459,AB14179,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14179/AB14179@IMG12-0ABA66E491.jpg,BA6020,褲子,,,https://image.obdesign.com.tw/catalog/products/BA6020/BA6020@1.jpg,
1460,AB14179,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14179/AB14179@IMG12-DD38198148.jpg,BA6020,褲子,,,https://image.obdesign.com.tw/catalog/products/BA6020/BA6020@1.jpg,
1461,AB14211,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14211/AB14211@1.jpg,BA5978,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5978/BA5978@1.jpg,
1462,AB14377,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14377/AB14377@PIC-3.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
1463,AB14431,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14431/AB14431@PIC-6.jpg,BA5925,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5925/BA5925@1.jpg,
1464,AB14447,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14447/AB14447@PIC-4.jpg,BA5989,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5989/BA5989@1.jpg,
1465,AB14489,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14489/AB14489@PIC-7.jpg,BA4886,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
1466,AB14563,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14563/AB14563@PIC-6.jpg,BA6084,褲子,,,https://image.obdesign.com.tw/catalog/products/BA6084/BA6084@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6084/BA6084@CB-T4-91AF713E6564C14B61EA.png
1467,AB14563,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14563/AB14563@PIC-10.jpg,BA6204,褲子,,,https://image.obdesign.com.tw/catalog/products/BA6204/BA6204@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6204/BA6204@CB-T4-CEC31DB0C034D23899EE.png
1468,AB14595,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14595/AB14595@PIC-7.jpg,BA6068,褲子,,,https://image.obdesign.com.tw/catalog/products/BA6068/BA6068@1.jpg,
1469,AB14595,未設定,,,https://image.obdesign.com.tw/catalog/products/AB14595/AB14595@PIC-11.jpg,BA5942,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5942/BA5942@1.jpg,
1470,AB8215,未設定,,,https://image.obdesign.com.tw/catalog/products/AB8215/AB8215@PIC-23.jpg,BA4689,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4689/BA4689@1.jpg,
1471,AB8944,未設定,,,https://image.obdesign.com.tw/catalog/products/AB8944/AB8944@PIC-9.jpg,BA4686,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4686/BA4686@1.jpg,
1472,AB9265,未設定,,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB9265/AB9265@PIC-5.jpg,BA4769,褲子,,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4769/BA4769@1.jpg,
1473,AB9559,未設定,,,https://image.obdesign.com.tw/catalog/products/AB9559/AB9559@1.jpg,BA5527,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5527/BA5527@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5527/BA5527@CB-T4-63008CC6E32444BB1A2C.png
1474,AB9583,未設定,,,https://image.obdesign.com.tw/catalog/products/AB9583/AB9583@PIC-9.jpg,BA4689,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4689/BA4689@1.jpg,
1475,DA6275,未設定,,,https://image.obdesign.com.tw/catalog/products/DA6275/DA6275@T9-1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
1476,DA6306,未設定,,,https://image.obdesign.com.tw/catalog/products/DA6306/DA6306@PIC-5.jpg,BA4341,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4341/BA4341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4341/BA4341@CB-T4-596703C93FC4343AA35A.png
1477,DA7294,未設定,,,https://image.obdesign.com.tw/catalog/products/DA7294/DA7294@PIC-8.jpg,BA5510,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5510/BA5510@1.jpg,
1478,DA7484,未設定,,,https://image.obdesign.com.tw/catalog/products/DA7484/DA7484@PIC-9.jpg,BA5510,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5510/BA5510@1.jpg,
1479,DA7804,未設定,,,https://image.obdesign.com.tw/catalog/products/DA7804/DA7804@T9-1.jpg,BA5725,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5725/BA5725@1.jpg,
1480,DA7864,未設定,,,https://image.obdesign.com.tw/catalog/products/DA7864/DA7864@PIC-2.jpg,BA5725,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5725/BA5725@1.jpg,
1481,DA8268,未設定,,,https://image.obdesign.com.tw/catalog/products/DA8268/DA8268@PIC-7.jpg,BA5904,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5904/BA5904@1.jpg,
1482,DA8296,未設定,,,https://image.obdesign.com.tw/catalog/products/DA8296/DA8296@PIC-8.jpg,BA4886,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
1483,EA2307,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2307/EA2307@PIC-31.jpg,BA5837,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5837/BA5837@1.jpg,
1484,EA2307,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2307/EA2307@1.jpg,BA4689,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4689/BA4689@1.jpg,
1485,EA2307,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2307/EA2307@PIC-9.jpg,BA3769,褲子,,,https://image.obdesign.com.tw/catalog/products/BA3769/BA3769@1.jpg,
1486,EA2635,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2635/EA2635@PIC-3.jpg,BA4701,褲子,率性休閒,清新甜美,https://image.obdesign.com.tw/catalog/products/BA4701/BA4701@1.jpg,
1487,EA2688,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2688/EA2688@PIC-1.jpg,BA4940,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4940/BA4940@1.jpg,
1488,EA2752,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2752/EA2752@PIC-9.jpg,BA5264,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5264/BA5264@1.jpg,
1489,EA2784,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2784/EA2784@PIC-13.jpg,BA5336,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5336/BA5336@1.jpg,
1490,EA2819,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2819/EA2819@PIC-10.jpg,BA5370,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5370/BA5370@1.jpg,
1491,EA2823,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2823/EA2823@PIC-9.jpg,BA5326,褲子,簡約質感,大氣優雅,https://image.obdesign.com.tw/catalog/products/BA5326/BA5326@1.jpg,
1492,EA2880,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2880/EA2880@PIC-15.jpg,BA5340,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5340/BA5340@1.jpg,
1493,EA2919,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2919/EA2919@PIC-5.jpg,BA5387,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5387/BA5387@1.jpg,
1494,EA2925,未設定,,,https://image.obdesign.com.tw/catalog/products/EA2925/EA2925@PIC-1.jpg,BA5189,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5189/BA5189@1.jpg,
